,text,label,predictions
0,"This Dutch sampler is an of example a practical working document, with various small patterns and motifs scattered across the surface of the cloth in different orientations making the best use of the available space on the foundation fabric. Apparently the women of Marken Island kept their samplers in or near their kitchens for handy reference. This practice has caused the samplers from this area to be discolored from exposure to the fumes and residue from cooking fires.",embroidery,velvet
1,"British wool embroidery, known as crewel embroidery, was a nearly ubiquitous method of decorating furnishing textiles from the 16th through the 18th centuries. Wool could easily be dyed with the natural dyes of the period in a wide array of vivid colors. In the late 17th and early 18th centuries, one of the most popular forms was variations on the Tree of Life motif, inspired by the colorful painted cotton palampores of the same design that were imported into Britain. This pair of bed curtain panels is exceptional for its unusual design, which is more closely related to woven silk textiles of the period. On this grand scale, the leaves also hark back to late medieval decorative cabbage-leaf verdure tapestries. The blue and white palette of the embroidery certainly reflects the immense popularity of the Chinese export and Dutch Delft ceramics that were avidly collected in Britain.These curtain panels would have formed part of a set of hangings, which would have also upper and lower valances, a head cloth, a bed cover or counterpane and wider curtains that would enclose the entire bed when drawn. As the hanging curtains often saw the least amount of physical wear, these are often the elements that survive from a matched set. In addition, the remainder of the textile furnishing in such a bedroom would have coordinated with the bed hangings: seat furniture covers, window curtains and possibly wall hangings.",embroidery,embroidery
2,"We may never know what inspired nine-year-old Mary Ann Sadler to convert her mathematics equation into embroidered form. The problem is worked on the basis of the British monetary system using British pounds, shillings, pence (pennies) and farthings. Mary Ann was a student at St. Mark’s School, which was located next to St. Marks’s church on North Audley Street off of Grosvenor Square, near Hyde Park. The school opened in 1831 with the goal of providing the poorer children of the parish with an education at the elementary school level, and it operated in the original building until 1904.",embroidery,brocaded
3,"Band samplers are composed of horizontal rows (""bands"") of embroidered patterns stitched along the linen foundation fabric. Many of the patterns stitched onto band samplers can be traced to sixteenth-century pattern books, and often include depictions of fruit, flowers, and geometric patterns. The top portion of the sampler consists of whitework, while the rest utilizes colored silk threads. The letters HB and the year 1676 are stitched onto the linen, most likely the initials of the maker and the year in which she completed her work.",embroidery,embroidery
4,"Whitework samplers typically consist of a variety of stitches and lace-making techniques, all stitched in white thread. Based on the small number of documented seventeenth-century embroiderers who made multiple samplers, it is thought that samplers containing whitework, cutwork, drawnwork, and lace designs were stitched only after multi-colored band samplers were finished, as whitework techniques are more difficult. While many surviving English samplers include lace, cutwork, and drawnwork, few examples of seventeenth-century lace have been attributed to English manufacture.This sampler is worked in whitework and reticella, which requires a stitcher to remove warp and weft threads from a piece of fabric before stabilizing the fabric with buttonhole stitches and creating designs based on the grid of the linen. The top of the sampler, worked in satin, eye, and line stitches, features the initials ""MD"" (presumably the initials of the maker) and an alphabet, along with geometric and stylized floral patterns of varying length. The remainder of the sampler consists of cutwork filled with reticella lace in geometric patterns.",embroidery,embroidery
5,"The coat-of-arms of the Galilei family of Florence is represented by the small ladder with three rungs under the cross in the center of the velvet. Along the bottom is part of a scroll that, if complete, appears to have read ""Benedetto Ghalilei."" This velvet, with its particularly lavish use of gold metal thread and the incorporation of the cross, may have been used in a set of ecclesiastical vestments for a family chapel.",velvet,velvet
6,"Band samplers are composed of horizontal rows (""bands"") of embroidered patterns stitched along the woven linen foundation fabric. The shape of this band sampler is unusual, as it is square rather than rectangular, long to ensure that many bands can be stitched. Many of the patterns stitched onto band samplers can be traced to sixteenth-century pattern books, and often include depictions of fruit, flowers, and geometric patterns. This undated and unsigned sampler consists of three bands, the last of which includes ""boxers,"" male figures who flank a floral motif and hold a ""trophy,"" in this case a bird. The figure of the boxer is probably derived from the motif of a lover offering a flower to his beloved, which is also found in a number of sixteenth-century pattern books.",embroidery,velvet
7,"In 1688 John Stalker and George Parker published A Treatise of Japanning and Varnishing, a book which included twenty-four designs for decorating furniture and accessories in imitation of Asian lacquer. These designs were also transferred to other techniques and the motifs on this embroidered panel are similar to some of Stalker and Parker’s patterns. It was  probably part of a woman’s petticoat or skirt.",embroidery,brocaded
8,"The initials S.B. in the center of this elaborate collection of darning samples are most likely those of the instructor, as there are several surviving examples with the same initials. It’s possible that these initials belonged to a teacher at an orphan school in Amsterdam, and the other initials in decorative cartouches surrounding the center, and surmounted by crowns on the edges, are likely to be those of other teachers, and administrators or supporters of the institution.",embroidery,brocaded
9,"Sumptuous velvets, such as this example, were among the most highly prized luxury fabrics of the Renaissance. Utilizing variations on a relatively small number of decorative motifs, most notably the pomegranate, palmette, artichoke, and garland, these silken-pile textiles developed from earlier fifteenth-century subtle voided patterns, formed by the appearance of the ground fabric where there was no pile on the surface, into visually and technically more complex designs. Here, the symmetrical pattern of elaborate artichoke forms within lobed compartments surrounded by ogivally arranged intertwined leaves and flowers is woven with metal thread, and some details are executed with metal loops (bouclé) for additional texture. The jewel-tone silk velvet primarily forms the background, which, in areas, has a subtle ""sculpted"" leaf pattern achieved by juxtaposing two different heights of the velvet pile.Woven in Italy—particularly Florence, Venice, and Genoa—and in Spain, velvets were coveted throughout Europe and also in Turkey, where production demonstrated reciprocal influences, especially with Venetian weavings. This particular example exhibits Eastern influence in the crenate collar or clip motif that secures the garlands. Contemporary paintings, inventories, and extant examples clearly indicate the international appeal of velvets and their varied uses: from ecclesiastical vestments to caftans and European-style garments for the very wealthy, to opulent furnishings, cloths of honor, and diplomatic gifts.",velvet,velvet
